sheet_name,sheet_category,data_item,available
0 Data item Availability,Data item Availability,DWTD Dwelling Type,Yes
0 Data item Availability,Data item Availability,Database,No
0 Data item Availability,Data item Availability,Dataset,No
0 Data item Availability,Data item Availability,Dataset release date,No
0 Data item Availability,Data item Availability,Distance and Method of Travel to Work,No
0 Data item Availability,Data item Availability,Dwelling and Household Characteristics,No
0 Data item Availability,Data item Availability,"EETP Engagement in Employment, Education and Training",No
0 Data item Availability,Data item Availability,EMFP Employment Flag,No
0 Data item Availability,Data item Availability,EMPP Number of Employees,No
0 Data item Availability,Data item Availability,ENGLP Proficiency in Spoken English,Yes
0 Data item Availability,Data item Availability,Education and Qualifications,No
0 Data item Availability,Data item Availability,Employment and Income,No
0 Data item Availability,Data item Availability,Empowered Communities (EN),Yes
0 Data item Availability,Data item Availability,Empowered Communities (UR),Yes
0 Data item Availability,Data item Availability,FBLF Family Blending,Yes
0 Data item Availability,Data item Availability,FGAF Main Type of Family Government Benefit Payment (administrative data),No
0 Data item Availability,Data item Availability,FIAASF Total Family Income as Available (administrative data) (weekly),No
0 Data item Availability,Data item Availability,FIDF Family Income Derivation Indicator,Yes
0 Data item Availability,Data item Availability,FINAF Total Family Income (administrative data) (weekly),No
0 Data item Availability,Data item Availability,FINASF Total Family Income as Stated (weekly),Yes
0 Data item Availability,Data item Availability,FINF Total Family Income (weekly),Yes
0 Data item Availability,Data item Availability,FMCF Family Composition,Yes
0 Data item Availability,Data item Availability,FMGF Grandparent Families,Yes
0 Data item Availability,Data item Availability,FNOF Family Number,Yes
0 Data item Availability,Data item Availability,FPIP Parent Indicator,Yes
0 Data item Availability,Data item Availability,FRLF Relationship Between Families,Yes
0 Data item Availability,Data item Availability,FSAF Main Source of Family Income (administrative data),No
0 Data item Availability,Data item Availability,Family Characteristics,No
0 Data item Availability,Data item Availability,Family Characteristics and Composition,No
0 Data item Availability,Data item Availability,Family Counts,No
0 Data item Availability,Data item Availability,Family Income,No
0 Data item Availability,Data item Availability,GNGP Public/Private Sector,No
0 Data item Availability,Data item Availability,Geographical Areas (Enumeration),No
0 Data item Availability,Data item Availability,Geographical Areas (Place of Work),No
0 Data item Availability,Data item Availability,Geographical Areas (Usual Residence),No
0 Data item Availability,Data item Availability,Greater Capital City Statistical Areas (EN),Yes
0 Data item Availability,Data item Availability,Greater Capital City Statistical Areas (POW),No
0 Data item Availability,Data item Availability,Greater Capital City Statistical Areas (UR),Yes
0 Data item Availability,Data item Availability,HARTP Whether has Arthritis,Yes
0 Data item Availability,Data item Availability,HASTP Whether has Asthma,Yes
0 Data item Availability,Data item Availability,HCANP Whether has Cancer (including remission),Yes
0 Data item Availability,Data item Availability,HCFMD Family Household Composition (Dwelling),Yes
0 Data item Availability,Data item Availability,HCFMF Family Household Composition (Family),Yes
0 Data item Availability,Data item Availability,HDEMP Whether has Dementia (including Alzheimer's),Yes
0 Data item Availability,Data item Availability,HDIAP Whether has Diabetes (excluding Gestational Diabetes),Yes
0 Data item Availability,Data item Availability,HEAP Level of Highest Educational Attainment,No
0 Data item Availability,Data item Availability,HGAD Main Type of Household Government Benefit Payment (administrative data),No
0 Data item Availability,Data item Availability,HHCD Household Composition,Yes
0 Data item Availability,Data item Availability,HHEDP Whether has Heart Disease (including Heart Attack or Angina),Yes
0 Data item Availability,Data item Availability,HIAASD Total Household Income as Available (administrative data) (weekly),No
0 Data item Availability,Data item Availability,HIDD Household Income Derivation Indicator,Yes
0 Data item Availability,Data item Availability,HIED Equivalised Total Household Income (weekly),Yes
0 Data item Availability,Data item Availability,HINAD Total Household Income (administrative data) (weekly),No
0 Data item Availability,Data item Availability,HINASD Total Household Income as Stated (weekly),Yes
0 Data item Availability,Data item Availability,HIND Total Household Income (weekly),Yes
0 Data item Availability,Data item Availability,HKIDP Whether has Kidney Disease,Yes
0 Data item Availability,Data item Availability,HLTHP Whether has One or more Long-term Health Condition(s),Yes
0 Data item Availability,Data item Availability,HLUNP Whether has Lung Condition (including COPD and Emphysema),Yes
0 Data item Availability,Data item Availability,HMHCP Whether has Mental Health Condition (including Depression or Anxiety),Yes
0 Data item Availability,Data item Availability,HOLHP Whether has Other Long-term Health Condition(s),Yes
0 Data item Availability,Data item Availability,HOSD Housing Suitability,Yes
0 Data item Availability,Data item Availability,HRSP Hours Worked,No
0 Data item Availability,Data item Availability,HRWRP Hours Worked (ranges),No
0 Data item Availability,Data item Availability,HSAD Main Source of Household Income (administrative data),No
0 Data item Availability,Data item Availability,HSCP Highest Year of School Completed,Yes
0 Data item Availability,Data item Availability,HSTRP Whether has had a Stroke,Yes
0 Data item Availability,Data item Availability,Health,No
0 Data item Availability,Data item Availability,Health Comorbidities,No
0 Data item Availability,Data item Availability,Homelessness Estimates,No
0 Data item Availability,Data item Availability,Household Income and Housing Costs,No
0 Data item Availability,Data item Availability,IEO Deciles at LGA Level (Area),No
0 Data item Availability,Data item Availability,IEO Deciles at LGA Level (Pop),No
0 Data item Availability,Data item Availability,IEO Deciles at POA Level (Area),No
0 Data item Availability,Data item Availability,IEO Deciles at POA Level (Pop),No
0 Data item Availability,Data item Availability,IEO Deciles at SA1 Level (Area),No
0 Data item Availability,Data item Availability,IEO Deciles at SA1 Level (Pop),No
0 Data item Availability,Data item Availability,IEO Deciles at SA2 Level (Area),No
0 Data item Availability,Data item Availability,IEO Deciles at SA2 Level (Pop),No
0 Data item Availability,Data item Availability,IEO Deciles at SAL Level (Area),No
0 Data item Availability,Data item Availability,IEO Deciles at SAL Level (Pop),No
0 Data item Availability,Data item Availability,IER Deciles at LGA Level (Area),No
0 Data item Availability,Data item Availability,IER Deciles at LGA Level (Pop),No
0 Data item Availability,Data item Availability,IER Deciles at POA Level (Area),No
0 Data item Availability,Data item Availability,IER Deciles at POA Level (Pop),No
0 Data item Availability,Data item Availability,IER Deciles at SA1 Level (Area),No
0 Data item Availability,Data item Availability,IER Deciles at SA1 Level (Pop),No
0 Data item Availability,Data item Availability,IER Deciles at SA2 Level (Area),No
0 Data item Availability,Data item Availability,IER Deciles at SA2 Level (Pop),No
0 Data item Availability,Data item Availability,IER Deciles at SAL Level (Area),No
0 Data item Availability,Data item Availability,IER Deciles at SAL Level (Pop),No
0 Data item Availability,Data item Availability,IFAGEP Imputation Flag for Age,Yes
0 Data item Availability,Data item Availability,IFDTWP Imputed Distance to Work,No
0 Data item Availability,Data item Availability,IFMSTP Imputation Flag for Registered Marital Status,Yes
0 Data item Availability,Data item Availability,IFNMFD Imputation Flag for Number of Males and Females in Dwelling,Yes
0 Data item Availability,Data item Availability,IFPOWP Imputation Flag for Place of Work,No
0 Data item Availability,Data item Availability,IFPURP Imputation Flag for Place of Usual Residence,Yes
0 Data item Availability,Data item Availability,IFSEXP Imputation Flag for Sex,Yes
0 Data item Availability,Data item Availability,IGAP Main Type of Personal Government Benefit Payment (administrative data),No
0 Data item Availability,Data item Availability,IHAD Quantiles (Household-based),No
0 Data item Availability,Data item Availability,INCAP Total Personal Income (administrative data) (weekly),No
0 Data item Availability,Data item Availability,INCP Total Personal Income (weekly),Yes
0 Data item Availability,Data item Availability,INDP Industry of Employment,No
0 Data item Availability,Data item Availability,INGDWTD Indigenous Household Indicator,Yes
0 Data item Availability,Data item Availability,INGF Aboriginal and Torres Strait Islander Family Indicator,Yes
0 Data item Availability,Data item Availability,INGP Indigenous Status,Yes
0 Data item Availability,Data item Availability,IRSAD Deciles (Household),No
0 Data item Availability,Data item Availability,IRSAD Deciles at LGA Level (Area),No
0 Data item Availability,Data item Availability,IRSAD Deciles at LGA Level (Pop),No
0 Data item Availability,Data item Availability,IRSAD Deciles at POA Level (Area),No
0 Data item Availability,Data item Availability,IRSAD Deciles at POA Level (Pop),No
0 Data item Availability,Data item Availability,IRSAD Deciles at SA1 Level (Area),No
0 Data item Availability,Data item Availability,IRSAD Deciles at SA1 Level (Pop),No
0 Data item Availability,Data item Availability,IRSAD Deciles at SA2 Level (Area),No
0 Data item Availability,Data item Availability,IRSAD Deciles at SA2 Level (Pop),No
0 Data item Availability,Data item Availability,IRSAD Deciles at SAL Level (Area),No
0 Data item Availability,Data item Availability,IRSAD Deciles at SAL Level (Pop),No
0 Data item Availability,Data item Availability,IRSAD Quartiles (Household),No
0 Data item Availability,Data item Availability,IRSAD Quartiles at LGA Level (Area),No
0 Data item Availability,Data item Availability,IRSAD Quartiles at POA Level (Area),No
0 Data item Availability,Data item Availability,IRSAD Quartiles at SA1 Level (Area),No
0 Data item Availability,Data item Availability,IRSAD Quartiles at SA2 Level (Area),No
0 Data item Availability,Data item Availability,IRSAD Quartiles at SAL Level (Area),No
0 Data item Availability,Data item Availability,IRSD Deciles at LGA Level (Area),No
0 Data item Availability,Data item Availability,IRSD Deciles at LGA Level (Pop),No
0 Data item Availability,Data item Availability,IRSD Deciles at POA Level (Area),No
0 Data item Availability,Data item Availability,IRSD Deciles at POA Level (Pop),No
0 Data item Availability,Data item Availability,IRSD Deciles at SA1 Level (Area),No
0 Data item Availability,Data item Availability,IRSD Deciles at SA1 Level (Pop),No
0 Data item Availability,Data item Availability,IRSD Deciles at SA2 Level (Area),No
0 Data item Availability,Data item Availability,IRSD Deciles at SA2 Level (Pop),No
0 Data item Availability,Data item Availability,IRSD Deciles at SAL Level (Area),No
0 Data item Availability,Data item Availability,IRSD Deciles at SAL Level (Pop),No
0 Data item Availability,Data item Availability,ISAP Main Source of Personal Income (administrative data),No
0 Data item Availability,Data item Availability,Indigenous Structure (EN),Yes
0 Data item Availability,Data item Availability,Indigenous Structure (UR),Yes
0 Data item Availability,Data item Availability,Items available from 1st release are indicated by *,No
0 Data item Availability,Data item Availability,Items available from 2024-2025 are indicated by ****,No
0 Data item Availability,Data item Availability,Items available from 2nd release are indicated by **,No
0 Data item Availability,Data item Availability,Items available from 3rd release are indicated by ***,No
0 Data item Availability,Data item Availability,LANP Language Used at Home,Yes
0 Data item Availability,Data item Availability,LFFP Labour Force Participation Flag,No
0 Data item Availability,Data item Availability,LFHRP Labour Force Status and Hours Worked Not Stated,No
0 Data item Availability,Data item Availability,LFSF Labour Force Status of Parents/Partners in Families,No
0 Data item Availability,Data item Availability,LFSP Labour Force Status,No
0 Data item Availability,Data item Availability,LLDD Landlord Type,Yes
0 Data item Availability,Data item Availability,LNGP Whether Reported Using an Aboriginal and/or Torres Strait Islander Language at Home,Yes
0 Data item Availability,Data item Availability,LTHP Type of Long-term Health Condition,Yes
0 Data item Availability,Data item Availability,List of data items,No
0 Data item Availability,Data item Availability,Local Government Areas (2021 Boundaries) (EN),Yes
0 Data item Availability,Data item Availability,Local Government Areas (2021 Boundaries) (POW),No
0 Data item Availability,Data item Availability,Local Government Areas (2021 Boundaries) (UR),Yes
0 Data item Availability,Data item Availability,Local Government Areas (2022 Boundaries) (EN),No
0 Data item Availability,Data item Availability,Local Government Areas (2022 Boundaries) (POW),No
0 Data item Availability,Data item Availability,Local Government Areas (2022 Boundaries) (UR),No
0 Data item Availability,Data item Availability,Local Government Areas of Usual Residence Five Years Ago,No
0 Data item Availability,Data item Availability,Local Government Areas of Usual Residence One Year Ago,No
0 Data item Availability,Data item Availability,Long-term Health Conditions,No
0 Data item Availability,Data item Availability,MAID Mortgage Affordability Indicator,Yes
0 Data item Availability,Data item Availability,MB by Commonwealth Electoral Divisions (2021 Boundaries) (EN),Yes
0 Data item Availability,Data item Availability,MB by Commonwealth Electoral Divisions (2021 Boundaries) (UR),Yes
0 Data item Availability,Data item Availability,MB by Greater Capital City Statistical Areas (EN),Yes
0 Data item Availability,Data item Availability,MB by Greater Capital City Statistical Areas (UR),Yes
0 Data item Availability,Data item Availability,MB by Indigenous Structure (EN),Yes
0 Data item Availability,Data item Availability,MB by Indigenous Structure (UR),Yes
0 Data item Availability,Data item Availability,MB by Local Government Areas (2021 Boundaries) (EN),Yes
0 Data item Availability,Data item Availability,MB by Local Government Areas (2021 Boundaries) (UR),Yes
0 Data item Availability,Data item Availability,MB by Local Government Areas (2022 Boundaries) (EN),No
0 Data item Availability,Data item Availability,MB by Local Government Areas (2022 Boundaries) (UR),No
0 Data item Availability,Data item Availability,MB by Main Statistical Area Structure (Main ASGS) (EN),Yes
0 Data item Availability,Data item Availability,MB by Main Statistical Area Structure (Main ASGS) (UR),Yes
0 Data item Availability,Data item Availability,MB by Postal Areas (EN),Yes
0 Data item Availability,Data item Availability,MB by Postal Areas (UR),Yes
0 Data item Availability,Data item Availability,MB by Remoteness Areas (EN),No
0 Data item Availability,Data item Availability,MB by Remoteness Areas (National) (EN),No
0 Data item Availability,Data item Availability,MB by Remoteness Areas (National) (UR),No
0 Data item Availability,Data item Availability,MB by Remoteness Areas (UR),No
0 Data item Availability,Data item Availability,MB by Section of State/UCLs (EN),No
0 Data item Availability,Data item Availability,MB by Section of State/UCLs (UR),No
0 Data item Availability,Data item Availability,MB by Significant Urban Areas (EN),No
0 Data item Availability,Data item Availability,MB by Significant Urban Areas (UR),No
0 Data item Availability,Data item Availability,MB by State Electoral Divisions (2021 Boundaries) (EN),Yes
0 Data item Availability,Data item Availability,MB by State Electoral Divisions (2021 Boundaries) (UR),Yes
0 Data item Availability,Data item Availability,MB by State Electoral Divisions (2022 Boundaries) (EN),No
0 Data item Availability,Data item Availability,MB by State Electoral Divisions (2022 Boundaries) (UR),No
0 Data item Availability,Data item Availability,MB by State Electoral Divisions (2024 Boundaries) (EN),No
0 Data item Availability,Data item Availability,MB by State Electoral Divisions (2024 Boundaries) (UR),No
0 Data item Availability,Data item Availability,MB by Suburbs and Localities (EN),Yes
0 Data item Availability,Data item Availability,MB by Suburbs and Localities (UR),Yes
0 Data item Availability,Data item Availability,MDCP Social Marital Status,Yes
0 Data item Availability,Data item Availability,MRED Mortgage Repayments (monthly) Dollar Values,Yes
0 Data item Availability,Data item Availability,MRERD Mortgage Repayments (monthly) Ranges,Yes
0 Data item Availability,Data item Availability,MSTP Registered Marital Status,Yes
0 Data item Availability,Data item Availability,MTW06P Method of Travel to Work (6 travel modes),No
0 Data item Availability,Data item Availability,MTW15P Method of Travel to Work (15 travel modes),No
0 Data item Availability,Data item Availability,MTWP Method of Travel to Work,No
0 Data item Availability,Data item Availability,MV1D Household One Year Mobility Indicator,No
0 Data item Availability,Data item Availability,MV5D Household Five Year Mobility Indicator,No
0 Data item Availability,Data item Availability,Main Statistical Area Structure (Main ASGS) (EN),Yes
0 Data item Availability,Data item Availability,Main Statistical Area Structure (Main ASGS) (POW),No
0 Data item Availability,Data item Availability,Main Statistical Area Structure (Main ASGS) (UR),Yes
0 Data item Availability,Data item Availability,NPDD Type of Non-Private Dwelling,Yes
0 Data item Availability,Data item Availability,NPRD Number of Persons Usually Resident in Dwelling,Yes
0 Data item Availability,Data item Availability,National Reporting Indicators,No
0 Data item Availability,Data item Availability,Natural Resource Management Regions (EN),Yes
0 Data item Availability,Data item Availability,Natural Resource Management Regions (UR),Yes
0 Data item Availability,Data item Availability,Need for Assistance,No
0 Data item Availability,Data item Availability,OCCEV1P Occupation Experimental Update Version 1,No
0 Data item Availability,Data item Availability,OCCP Occupation,No
0 Data item Availability,Data item Availability,OCSKEV1P Occupation Skill Level Experimental Update Version 1,No
0 Data item Availability,Data item Availability,OCSKP Occupation Skill Level,No
0 Data item Availability,Data item Availability,OPGP Homelessness Operational Groups,No
0 Data item Availability,Data item Availability,PUR1P Place of Usual Residence One Year Ago,No
0 Data item Availability,Data item Availability,PUR5P Place of Usual Residence Five Years Ago,No
0 Data item Availability,Data item Availability,Persons in Household with a Long-term Health Condition,No
0 Data item Availability,Data item Availability,Postal Areas (EN),Yes
0 Data item Availability,Data item Availability,Postal Areas (UR),Yes
0 Data item Availability,Data item Availability,Primary Health Networks (2017 Boundaries) (EN),Yes
0 Data item Availability,Data item Availability,Primary Health Networks (2017 Boundaries) (UR),Yes
0 Data item Availability,Data item Availability,Primary Health Networks (2023 Boundaries) (EN),No
0 Data item Availability,Data item Availability,Primary Health Networks (2023 Boundaries) (UR),No
0 Data item Availability,Data item Availability,QALFP Non-School Qualification: Field of Study,No
0 Data item Availability,Data item Availability,QALLP Non-School Qualification: Level of Education,No
0 Data item Availability,Data item Availability,Quantiles at LGA Level (Area),No
0 Data item Availability,Data item Availability,Quantiles at LGA Level (Population),No
0 Data item Availability,Data item Availability,Quantiles at POA Level (Area),No
0 Data item Availability,Data item Availability,Quantiles at POA Level (Population),No
0 Data item Availability,Data item Availability,Quantiles at SA1 Level (Area),No
0 Data item Availability,Data item Availability,Quantiles at SA1 Level (Population),No
0 Data item Availability,Data item Availability,Quantiles at SA2 Level (Area),No
0 Data item Availability,Data item Availability,Quantiles at SA2 Level (Population),No
0 Data item Availability,Data item Availability,Quantiles at SAL Level (Area),No
0 Data item Availability,Data item Availability,Quantiles at SAL Level (Population),No
0 Data item Availability,Data item Availability,RAID Rent Affordability Indicator,Yes
0 Data item Availability,Data item Availability,RELP Religious Affiliation,Yes
0 Data item Availability,Data item Availability,RLCP Relationship as Reported for Couples,Yes
0 Data item Availability,Data item Availability,RLGP Relationship in Household (including grandchildren),Yes
0 Data item Availability,Data item Availability,RLHP Relationship in Household,Yes
0 Data item Availability,Data item Availability,RLNP Residential Status in a Non-Private Dwelling,Yes
0 Data item Availability,Data item Availability,RNTD Rent (weekly) Dollar Values,Yes
0 Data item Availability,Data item Availability,RNTRD Rent (weekly) Ranges,Yes
0 Data item Availability,Data item Availability,RPIP Family/Household Reference Person Indicator,Yes
0 Data item Availability,Data item Availability,Relationships and Children,No
0 Data item Availability,Data item Availability,Remoteness Areas (EN),No
0 Data item Availability,Data item Availability,Remoteness Areas (National) (EN),No
0 Data item Availability,Data item Availability,Remoteness Areas (National) (UR),No
0 Data item Availability,Data item Availability,Remoteness Areas (UR),No
0 Data item Availability,Data item Availability,SA1 by Greater Capital City Statistical Areas (EN),Yes
0 Data item Availability,Data item Availability,SA1 by Greater Capital City Statistical Areas (UR),Yes
0 Data item Availability,Data item Availability,SA1 by Indigenous Structure (EN),Yes
0 Data item Availability,Data item Availability,SA1 by Indigenous Structure (UR),Yes
0 Data item Availability,Data item Availability,SA1 by Main Statistical Area Structure (Main ASGS) (EN),Yes
0 Data item Availability,Data item Availability,SA1 by Main Statistical Area Structure (Main ASGS) (UR),Yes
0 Data item Availability,Data item Availability,SA1 by Remoteness Areas (EN),No
0 Data item Availability,Data item Availability,SA1 by Remoteness Areas (National) (EN),No
0 Data item Availability,Data item Availability,SA1 by Remoteness Areas (National) (UR),No
0 Data item Availability,Data item Availability,SA1 by Remoteness Areas (UR),No
0 Data item Availability,Data item Availability,SA1 by Section of State/UCLs (EN),No
0 Data item Availability,Data item Availability,SA1 by Section of State/UCLs (UR),No
0 Data item Availability,Data item Availability,SA1 by Significant Urban Areas (EN),No
0 Data item Availability,Data item Availability,SA1 by Significant Urban Areas (UR),No
0 Data item Availability,Data item Availability,SEIFA Quantiles (Area-based) WARNING: Area quantiles must be used with same geography type,No
0 Data item Availability,Data item Availability,SEIFA Quantiles (Population-based) WARNING: Population quantiles must be used with same geography type,No
0 Data item Availability,Data item Availability,SEXP Sex,Yes
0 Data item Availability,Data item Availability,SIEMP Status in Employment,No
0 Data item Availability,Data item Availability,SLPP Sex of Lone Parent,Yes
0 Data item Availability,Data item Availability,SPIP Spouse/Partner Indicator,Yes
0 Data item Availability,Data item Availability,SPLF Location of Spouse,Yes
0 Data item Availability,Data item Availability,SSCF Same-Sex Couple Indicator,Yes
0 Data item Availability,Data item Availability,STRD Dwelling Structure,Yes
0 Data item Availability,Data item Availability,STUP Full-Time/Part-Time Student Status,Yes
0 Data item Availability,Data item Availability,SVFP Level of Workforce Participation Survey Comparison Flag,No
0 Data item Availability,Data item Availability,Section of State/Urban Centres and Localities (EN),No
0 Data item Availability,Data item Availability,Section of State/Urban Centres and Localities (UR),No
0 Data item Availability,Data item Availability,Significant Urban Areas (EN),No
0 Data item Availability,Data item Availability,Significant Urban Areas (UR),No
0 Data item Availability,Data item Availability,State Electoral Divisions (2021 Boundaries) (EN),Yes
0 Data item Availability,Data item Availability,State Electoral Divisions (2021 Boundaries) (UR),Yes
0 Data item Availability,Data item Availability,State Electoral Divisions (2022 Boundaries) (EN),No
0 Data item Availability,Data item Availability,State Electoral Divisions (2022 Boundaries) (UR),No
0 Data item Availability,Data item Availability,State Electoral Divisions (2024 Boundaries) (EN),No
0 Data item Availability,Data item Availability,State Electoral Divisions (2024 Boundaries) (UR),No
0 Data item Availability,Data item Availability,Suburbs and Localities (EN),Yes
0 Data item Availability,Data item Availability,Suburbs and Localities (UR),Yes
0 Data item Availability,Data item Availability,TEND Tenure Type,Yes
0 Data item Availability,Data item Availability,TENLLD Tenure and Landlord Type,Yes
0 Data item Availability,Data item Availability,TISP Number of Children Ever Born,Yes
0 Data item Availability,Data item Availability,TISRP Number of Children Ever Born (ranges),Yes
0 Data item Availability,Data item Availability,TYPP Type of Educational Institution Attending,Yes
0 Data item Availability,Data item Availability,TYSTAP Educational Institution: Attendee Status,Yes
0 Data item Availability,Data item Availability,UAI1P Usual Address One Year Ago Indicator,No
0 Data item Availability,Data item Availability,UAI5P Usual Address Five Years Ago Indicator,No
0 Data item Availability,Data item Availability,UAICP Usual Address Indicator Census Night,Yes
0 Data item Availability,Data item Availability,UEFP Unemployment Flag,No
0 Data item Availability,Data item Availability,"UNCAREP Unpaid Assistance to a Person with a Disability, Health Condition, or due to Old Age",Yes
0 Data item Availability,Data item Availability,Unpaid Work and Care,No
0 Data item Availability,Data item Availability,Usual Address and Internal Migration,No
0 Data item Availability,Data item Availability,VEHD Number of Motor Vehicles,Yes
0 Data item Availability,Data item Availability,VEHRD Number of Motor Vehicles (ranges),Yes
0 Data item Availability,Data item Availability,VOLWP Voluntary Work for an Organisation or Group,Yes
0 Data item Availability,Data item Availability,WTNSQP People With or Working Towards a Non-school Qualification,No
0 Data item Availability,Data item Availability,YARP Year of Arrival in Australia,Yes
0 Data item Availability,Data item Availability,YARRP Year of Arrival in Australia (ranges),Yes
0 Data item Availability,Data item Availability,YR12C2P Attainment of Year 12 or Certificate II or higher,No
0 Data item Availability,Data item Availability,YR12C3P Attainment of Year 12 or Certificate III or higher,No
1 Cultural Diversity,Cultural Diversity,ADFP Australian Defence Force Service,Yes
1 Cultural Diversity,Cultural Diversity,AGE10P Age in Ten Year Groups,Yes
